172.68 -43.68 16 2.45 -1.28 -1.17 1.34 0.28 -1.07 23 X Y 201201061221A 4.9
165.38 -46.62 19 0.33 0.20 -0.53 0.45 -0.75 -0.02 25 X Y 201201190648A 6.0
165.22 -46.64 23 0.62 0.14 -0.76 0.03 -0.58 -0.04 24 X Y 201201190901A 5.2
165.27 -46.65 18 0.64 0.22 -0.86 0.10 -1.25 -0.14 24 X Y 201201250602A 5.4
166.44 -45.23 23 2.02 0.15 -2.18 0.34 -0.92 -0.67 23 X Y 201203151115A 4.9
172.78 -43.52 17 4.58 -2.32 -2.25 -0.28 1.13 -2.70 23 X Y 201205250244A 5.1
173.63 -40.05 230 0.37 0.88 -1.25 2.80 -2.07 0.31 25 X Y 201207031036A 6.3
175.74 -39.11 104 1.03 2.38 -3.41 1.26 -2.25 -0.01 23 X Y 201207070050A 5.0
175.90 -38.29 175 2.29 -1.22 -1.07 2.07 -0.17 -2.26 23 X Y 201210150005A 5.0
176.12 -38.64 119 0.41 1.00 -1.41 2.91 -2.77 0.31 24 X Y 201210162342A 5.7
176.09 -38.51 134 0.15 2.20 -2.35 1.23 -1.56 -0.11 23 X Y 201210190642A 4.9
176.08 -38.31 165 1.30 0.22 -1.52 3.38 0.58 -1.45 25 X Y 201212071819A 6.4
174.37 -41.58 17 0.68 0.42 -1.10 -0.90 0.99 -0.23 24 X Y 201307182106A 5.5
174.20 -41.71 13 2.48 1.30 -3.78 -1.66 1.09 -1.52 24 X Y 201307201917A 5.7
174.17 -41.63 12 1.42 4.62 -6.05 -3.65 1.60 -1.95 25 X Y 201307210509A 6.5
174.32 -41.84 28 1.55 3.08 -4.64 -1.50 2.10 -1.43 23 X Y 201307212247A 5.1
174.29 -41.61 15 0.54 0.52 -1.06 -1.09 2.80 -1.75 23 X Y 201307281307A 5.0
174.04 -41.76 12 1.28 5.03 -6.31 -3.18 2.83 -3.02 25 X Y 201308160231A 6.6
173.93 -41.82 12 0.71 1.51 -2.22 -0.57 1.53 -1.05 24 X Y 201308160245A 5.6
174.00 -41.72 15 -0.68 5.17 -4.49 -1.37 3.91 -3.86 24 X Y 201308160309A 5.9
174.17 -41.76 17 2.73 2.41 -5.14 -3.26 3.47 -4.00 24 X Y 201308160531A 5.9
174.13 -41.68 17 0.17 0.92 -1.09 -0.38 0.60 -0.40 24 X Y 201308160655A 5.4
174.03 -41.77 19 -0.03 0.71 -0.69 -0.09 0.49 0.00 24 X Y 201308170858A 5.2
165.43 -47.16 22 -0.26 2.39 -2.12 0.71 -0.70 2.19 23 X Y 201308180446A 5.0
165.82 -46.02 20 1.87 0.80 -2.67 0.93 -3.01 -0.95 24 X Y 201312161207A 5.7
